alias,substance,kind,species,basis,note
대파,알리움류,확정,dog|cat,F-014-001|F-054-007|F-053-008,대파(Allium fistulosum)는 알리움 속이다. 양파 역치로 바꾸지 않는다 — 종이 다르면 함량도 다르다
쪽파,알리움류,확정,dog|cat,F-014-001|F-054-007|F-053-008,위와 같다
실파,알리움류,확정,dog|cat,F-014-001|F-054-007|F-053-008,위와 같다
파김치,알리움류,확정,dog|cat,F-014-001|F-054-007|F-053-008,파로 담근다. '파'를 1글자 별칭으로 두지 않으므로 합성어를 행으로 적는다 (D-60)
샬롯,알리움류,확정,dog|cat,F-054-007|F-053-008,코퍼스가 '양파·리크·샬롯·마늘·차이브(알리움류)'로 함께 적는다
소주,알코올,확정,,F-029-001|F-016-001|F-063-007|F-070-007,코퍼스는 '알코올'·'에탄올(주류)'로 적어 일상어와 안 겹친다. 근거 F-029-001 이 all 이라 전 종에 건다
맥주,알코올,확정,,F-029-001|F-016-001|F-063-007|F-070-007,위와 같다
막걸리,알코올,확정,,F-029-001|F-016-001|F-063-007|F-070-007,위와 같다
위스키,알코올,확정,,F-029-001|F-016-001|F-063-007|F-070-007,위와 같다
와인,알코올,확정,,F-029-001|F-016-001|F-063-007|F-070-007,위와 같다
생맥주,알코올,확정,,F-029-001|F-016-001|F-063-007|F-070-007,'맥주' 앞에 한글이 붙으면 낱말 경계 규칙이 막는다 (D-60). 규칙에 예외를 붙이지 않고 행을 늘린다
소독용 알코올,이소프로필알코올,확정,dog|cat,F-086-006,코퍼스가 '이소프로필알코올(소독용 알코올)'로 적는다. 주류 알코올과 다른 물질이다
소독용알코올,이소프로필알코올,확정,dog|cat,F-086-006,코퍼스가 '이소프로필알코올(소독용 알코올)'로 적는다. 주류 알코올과 다른 물질이다
손소독제,이소프로필알코올,추정,dog|cat,F-086-006,⚠ 추정이다 — 벤잘코늄 등 비알코올 제품도 있다. D-59 ④ 확인 절차를 탄다
무설탕 껌,자일리톨,확정,,F-029-013|F-085-010|F-005-007|F-071-015,코퍼스가 '자일리톨(무설탕 껌·사탕·기침시럽·구강청결제·치약)'로 명시한다
무설탕껌,자일리톨,확정,,F-029-013|F-085-010|F-005-007|F-071-015,코퍼스가 '자일리톨(무설탕 껌·사탕·기침시럽·구강청결제·치약)'로 명시한다
무설탕 사탕,자일리톨,확정,,F-029-013|F-085-010|F-005-007|F-071-015,코퍼스가 '자일리톨(무설탕 껌·사탕·기침시럽·구강청결제·치약)'로 명시한다
무설탕사탕,자일리톨,확정,,F-029-013|F-085-010|F-005-007|F-071-015,코퍼스가 '자일리톨(무설탕 껌·사탕·기침시럽·구강청결제·치약)'로 명시한다
구강청결제,자일리톨,추정,,F-029-013|F-085-010|F-005-007|F-071-015,⚠ 추정이다 — 자일리톨을 안 넣은 제품도 있다. D-59 ④ 확인 절차를 탄다
코팅팬,PTFE,확정,bird,F-074-002|F-078-001,논스틱 코팅 조리기구는 PTFE 다. 코퍼스가 '논스틱(PTFE) 코팅 조리기구·가전'으로 적는다
논스틱,PTFE,확정,bird,F-074-002|F-078-001,논스틱 코팅 조리기구는 PTFE 다. 코퍼스가 '논스틱(PTFE) 코팅 조리기구·가전'으로 적는다
논스틱 팬,PTFE,확정,bird,F-074-002|F-078-001,논스틱 코팅 조리기구는 PTFE 다. 코퍼스가 '논스틱(PTFE) 코팅 조리기구·가전'으로 적는다
논스틱팬,PTFE,확정,bird,F-074-002|F-078-001,논스틱 코팅 조리기구는 PTFE 다. 코퍼스가 '논스틱(PTFE) 코팅 조리기구·가전'으로 적는다
테팔,PTFE,추정,bird,F-074-002|F-078-001,⚠ 추정이다 — 브랜드명이고 같은 브랜드가 무쇠·스테인리스 라인도 판다. 1차 표는 확정으로 뒀다
테팔팬,PTFE,추정,bird,F-074-002|F-078-001,⚠ 추정이다 — 브랜드명이고 같은 브랜드가 무쇠·스테인리스 라인도 판다. 1차 표는 확정으로 뒀다
프라이팬,PTFE,추정,bird,F-007-002|F-071-005|F-074-001,⚠ 추정이다 — 무쇠·스테인리스 팬은 PTFE 를 내지 않는다. D-59 ④ 확인 절차를 탄다
후라이팬,PTFE,추정,bird,F-007-002|F-071-005|F-074-001,⚠ 추정이다 — 무쇠·스테인리스 팬은 PTFE 를 내지 않는다. D-59 ④ 확인 절차를 탄다
냄비,PTFE,추정,bird,F-074-002|F-078-001,⚠ 추정이다. 코팅 냄비일 때만 성립한다
자두씨,벚나무속 과일 씨,확정,,F-029-017,코퍼스가 '벚나무속 과일 씨(체리·천도복숭아·복숭아·자두)'로 자두를 명시한다
자두 씨,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
자두씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
자두 씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
체리씨,벚나무속 과일 씨,확정,,F-029-017,코퍼스가 '벚나무속 과일 씨(체리·천도복숭아·복숭아·자두)'로 체리를 명시한다
체리 씨,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
체리씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
체리 씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
복숭아씨,벚나무속 과일 씨,확정,,F-029-017,코퍼스가 '벚나무속 과일 씨(체리·천도복숭아·복숭아·자두)'로 복숭아를 명시한다
복숭아 씨,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
복숭아씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
복숭아 씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
천도복숭아씨,벚나무속 과일 씨,확정,,F-029-017,코퍼스가 '벚나무속 과일 씨(체리·천도복숭아·복숭아·자두)'로 천도복숭아를 명시한다
천도복숭아 씨,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
천도복숭아씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
천도복숭아 씨앗,벚나무속 과일 씨,확정,,F-029-017,위와 같다. 다른 표기
