substance,species,triage_level,signs,fact_ids,source_ids
PTFE(테플론) 과열 흄,bird,3,개구호흡|꼬리 흔들림(tail bobbing)|거친 호흡|혼수|횃대에서 떨어짐,F-007-002|F-074-001,S-007|S-074
PTFE(폴리테트라플루오로에틸렌) 과열 흄,bird,4,호흡곤란|운동실조|쇠약|혼수,F-071-005,S-071
가정 내 임의 처치(금지),all,3,가정에서 처치하기 전 반드시 수의학적 자문을 먼저 구할 것,F-030-005,S-030
가정용 청소용품(공통),mammal,3,침 흘림 또는 입을 긁음|구토|식욕 없음|설사|복통|무기력|지남력 상실|발작|혼수|청소용품에 노출된 정황이 있는 경우|노출 경로·제품·노출량을 확인한 뒤,F-086-001,S-086
갑작스러운 행동 변화,mammal,2,갑작스러운 공격성|과도한 두려움|평소와 다른 위축,F-037-006,S-037
강박 행동에 동반된 응급 상황(자해·이물 삼킴·발작 유사),dog,4,출혈·부종·분비물·개방창|천·돌·플라스틱 등 이물 삼킴|허탈|심한 혼돈|발작 유사 증상|먹거나 마시거나 안정하지 못함|자해로 출혈·부종·분비물·개방창이 생겼을 때|이물을 삼켰을 가능성이 있을 때|허탈·심한 혼돈·발작 유사 증상이 있을 때|먹거나 마시거나 쉬지 못할 때,F-080-009,S-080
강박 행동의 의학적 감별 원인,dog,2,피부병(알레르기·감염)|통증(관절염·정형외과 질환)|신경병성 통증·이상 감각|위장관 질환(구역·역류·염증성 장질환)|내분비·대사 질환(쿠싱병 등)|신경 질환(부분 발작·뇌 질환·키아리 유사 기형·척수공동증)|반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-010,S-080
강박장애(CCD),dog,2,앞발·다리 핥기·씹기|꼬리 쫓기·제자리 돌기|서성임·원 그리며 걷기·울타리 달리기|허공 물기(파리 물기)|빛·그림자 쫓기·응시|표면 강박 핥기|옆구리·천 빨기|반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-001,S-080
개운죽(럭키뱀부),cat,3,유연(침흘림)|구토|식욕부진,F-095-003,S-095
개운죽(럭키뱀부),dog,3,유연(침흘림)|구토|기력 저하,F-096-012,S-096
고양이 교상,bird,4,,F-092-012,S-092
고양이의 개구호흡(팬팅),cat,4,입을 벌리고 헐떡임,F-038-002,S-038
"고열(hyperthermia, 과열)",bird,1,상태가 호전되지 않음,F-092-014,S-092
골절,bird,4,,F-092-006,S-092
구강·비강 출혈,bird,4,,F-092-004,S-092
구토,bird,1,구토|구토가 지속됨,F-092-010,S-092
국화,dog,3,구토|설사|유연(침흘림)|피부염,F-096-002,S-096
꼬리 쫓기·제자리 돌기,dog,2,반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-003,S-080
난관 폐색(egg binding),bird,4,,F-092-013,S-092
납(lead) 중독,bird,3,구토(토출)|무기력|쇠약|적색뇨|발작|근육경련|마비,F-071-001,S-071
뇌진탕(벽·창문 충돌),bird,1,빠르게 정상으로 회복하지 않음|신경학적 이상이 지속됨,F-092-007,S-092
눈 부상,mammal,4,충혈|부기|안구 탈출|눈을 찡그림|과도한 눈물|이물질이 보임,F-037-009,S-037
니코틴(담배·전자담배·니코틴 껌/패치),bird,3,떨림|구토|설사|발작|혼수,F-071-003,S-071
대마초(마리화나),bird,3,침울|쇠약|균형 상실|발작,F-071-004,S-071
독성 관엽식물 섭취,bird,3,,F-092-008,S-092
독성물질 노출 시 대응(구토 유발 전 확인),mammal,3,구토를 유발하거나 가정에서 처치하기 전|석유증류물에 노출된 경우(구토 유발 절대 금지),F-084-010,S-084
디펜바키아,cat,3,구역질|구토|복통|설사,F-095-006,S-095
로도덴드론(진달래속),bird,3,,F-071-008,S-071
마비·심한 쇠약,mammal,4,갑작스러운 쇠약|마비|운동 실조|보행 불가,F-037-010,S-037
무반응·의식 변화,mammal,4,심한 무기력|지남력 상실|부르거나 명령해도 반응하지 않음,F-037-003,S-037
바비큐 위험 식품 섭취 의심,dog,3,손님이 모르고 위험 식품을 줬을 때|쓰레기통을 뒤져 먹었을 때,F-063-012,S-063
반려동물 약물의 오·과다 투여,mammal,3,자기 약을 처방량보다 많이 먹은 경우|다른 반려동물의 약을 먹은 경우|개가 고양이 약을 먹은 경우(또는 그 반대)|개용 외용약을 고양이에게 바른 경우,F-085-013,S-085
발작,mammal,3,조절되지 않는 떨림|침 흘림|경련|의식 소실|발작이 끝난 직후,F-037-004,S-037
발작(seizure),bird,4,발작,F-092-015,S-092
발작(경련),all,4,전신 경련|발작|반려동물이 경련·발작을 하는 경우,F-030-002,S-030
배설물 내 혈액,bird,4,혈뇨|혈색소뇨|배설물 표면의 혈액|검고 끈적한 배설물,F-092-011,S-092
백합,cat,3,혼수,F-095-002,S-095
백합,dog,3,구토|설사|식욕부진|유연(침흘림),F-096-011,S-096
베고니아,dog,3,유연(침흘림)|삼킴 곤란|구토,F-096-007,S-096
"부기·복부 팽만(GDV, 고창증)",mammal,4,복부 부기|쇠약|창백한 잇몸|헛구역질|쇠약·창백한 잇몸·헛구역질 등이 함께 나타나는 경우,F-037-007,S-037
