fact_id,substance,species,threshold_type,dose,unit,computable,effect,signs,onset,source_id,citation,note
F-098-007,란타나,dog,임상징후 발현,≥1,%,Y,펜타사이클릭 트리테르페노이드에 의한 간독성 — 폐쇄성 담관염·지방간·담즙 정체,식욕부진|무력감|기력 저하|변비|흑색변|황달|빌리루빈 상승|ALT 상승|GGT 상승|ALP 상승,섭취 후 수 시간,S-098,"Nagy AL et al., Toxins 2023, 15(7):442","원문 'Varies by cultivar; ≥1% of body weight is toxic' → 'is toxic' 이므로 임상징후 발현. 품종(cultivar)에 따라 다르다고 원문이 단서를 단다. 48-72시간에 흑색변·황달·간효소 상승이 나타나고, 치료하지 않으면 1-3주 내 사망, 치사량 섭취 시 2-4일 내 사망이라고 원문이 적는다 — 다만 'D"
F-098-003,마늘,mammal,임상징후 발현,5,g/kg,Y,산화적 적혈구 손상에 의한 하인츠소체 용혈성 빈혈,혈색소뇨|침울|식욕부진|무력감|운동실조|떨림|점막 창백|심박수 증가|호흡수 증가|구토|설사|황달|복통|호기·체취의 강한 양파 냄새,,S-098,"Nagy AL et al., Toxins 2023, 15(7):442","원문 '5 g/kg garlic', species affected 'Dog, cat' — 개·고양이 공통 값이라 한 행(mammal)으로 두었다. 학명은 원문 표기 'Allium sativa' 를 그대로 옮겼다 — 통용 학명은 Allium sativum 이며 원문 오식으로 보이나 지침대로 고치지 않았다. 검수 필요."
F-098-008,백합,cat,임상징후 발현,1-2,leaves,N,"급성 신부전(신독성), 일부에서 췌장 변성·췌장염",식욕부진|구토|다음|침울|다뇨 후 무뇨|BUN 상승|크레아티닌 상승|인 상승|칼륨 상승|단백뇨|당뇨|요독성 발작,12-72시간,S-098,"Nagy AL et al., Toxins 2023, 15(7):442","원문 'One or two leaves or one flower can cause toxicosis in cats' → 임상징후 발현. ⚠️단위 주의 — 체중당이 아니라 **잎 개수**다(원문 표기 leaves 그대로). 꽃은 1송이 기준이라고 원문이 병기한다. 무뇨 상태로 치료하지 않으면 3-7일 내 사망. 원추리(Hemerocallis, 데이릴리)도 고"
F-098-006,소철(사고팜),dog,임상징후 발현,2,seeds,N,아족시글리코사이드(cycasin·neocycasin) 등에 의한 간 손상·간부전,체온 이상|식욕부진|기력 저하|과다 유연(침흘림)|구토|토혈|역류|복통|설사|변비|흑색변|떨림|무력감|발작|혼수|황달|점상출혈,4-24시간,S-098,"Nagy AL et al., Toxins 2023, 15(7):442",원문 'As few as 2 seeds can cause signs in dogs' → threshold_type=임상징후 발현. ⚠️단위 주의 — 체중당 값이 아니라 **씨앗 개수**다(원문 표기 seeds 그대로). 검사기가 드문 단위로 WARN 을 낼 수 있으나 환산하지 않았다. 원문 'mortality up to 67% in dogs' — 치사율이지
F-014-001,알리움류(양파·마늘·리크·차이브),cat,임상징후 발현,0.5,%,Y,위장 점막 자극 및 적혈구 손상에 따른 빈혈,구토|설사|무기력|호흡곤란|빈맥|복부 통증,수일 후,S-014,,원문 'The amount that is toxic to a cat is 0.5% of body weight.' — '독성이 나타나는 양'이라 threshold_type 을 '임상징후 발현'으로 잡았다. 단위는 원문 그대로 %(체중 대비)이며 g 으로 환산하지 않았다 — 팀장이 원문과 대조할 것. onset 은 원문 'The signs of poisonin
F-034-002,양파,cat,임상징후 발현,5,g/kg,Y,산화적 용혈(메트헤모글로빈혈증·적혈구 하인츠소체 형성)에 의한 빈혈,구토|설사|복통|식욕부진|침울|창백한 점막|쇠약|호흡수 증가|심박수 증가|황달|암적색 또는 갈색 소변(혈색소뇨),섭취 1일 후 또는 수일 후 (섭취량에 따라 다름),S-034,(8) Cope RB. Allium species poisoning in dogs and cats. Vet Med (2005) 100:562-6,"본문 'is enough to cause clinically important hematologic changes' — 본문 역치 서술. VPIS 1994-2008 고양이 4례 중 위장관 증상·기면·다음 1례, 빈혈·황달 1례, 무치료 무증상 1례, 흉강·복강 출혈로 사망 1례(16). 결론절 'foodstuffs that must not be fed to"
F-098-001,양파,cat,임상징후 발현,5,g/kg,Y,산화적 적혈구 손상에 의한 하인츠소체 용혈성 빈혈,혈색소뇨|침울|식욕부진|무력감|운동실조|떨림|점막 창백|심박수 증가|호흡수 증가|구토|설사|황달|복통|호기·체취의 강한 양파 냄새,,S-098,"Nagy AL et al., Toxins 2023, 15(7):442","원문 표 머리글이 'Toxic dose' 이고 본문이 'Cats: 5 g/kg onion' 이라 threshold_type=임상징후 발현. 단위는 원문 그대로 g/kg 이다(mg/kg 아님). 고양이가 개보다 감수성이 높은 이유를 원문이 제시한다 — 고양이 헤모글로빈의 티올기 8개 vs 개 4개, 간 글루쿠론산 포합 능력이 낮음. 생·상한 것·분말·가열 모"
F-034-001,양파,dog,임상징후 발현,15-30,g/kg,Y,산화적 용혈(메트헤모글로빈혈증·적혈구 하인츠소체 형성)에 의한 빈혈,구토|설사|복통|식욕부진|침울|창백한 점막|쇠약|호흡수 증가|심박수 증가|황달|암적색 또는 갈색 소변(혈색소뇨),섭취 1일 후 또는 수일 후 (섭취량에 따라 다름),S-034,(8) Cope RB. Allium species poisoning in dogs and cats. Vet Med (2005) 100:562-6,본문 'the ingestion of 5 g/kg of onions by cats and 15-30 g/kg by dogs is enough to cause clinically important hematologic changes (8)' — 본문이 역치로 서술하므로 임상징후 발현 유지. 조리·건조·가공해도 독성은 사라지지 않는다. Akita·Shiba·J
F-098-002,양파,dog,임상징후 발현,15-30,g/kg,Y,산화적 적혈구 손상에 의한 하인츠소체 용혈성 빈혈,혈색소뇨|침울|식욕부진|무력감|운동실조|떨림|점막 창백|심박수 증가|호흡수 증가|구토|설사|황달|복통|호기·체취의 강한 양파 냄새,,S-098,"Nagy AL et al., Toxins 2023, 15(7):442",원문 'Dogs: 15-30 g/kg' — 고양이(5 g/kg)와 임계치가 달라 지침 규칙 4에 따라 행을 나눴다. 적혈구 글루타티온·칼륨이 유전적으로 높은 일부 품종은 더 감수성이 높다고 원문이 덧붙인다.
F-034-032,자일리톨,dog,임상징후 발현,0.03,g/kg,Y,인슐린 분비 자극에 의한 저혈당,구토|기면|운동실조|허탈|발작,"섭취 후 30-60분, 최대 12시간까지 지연 가능",S-034,(68) DuHadway MR et al. J Vet Emerg Crit Care (2015) 25:646-54,"본문 'Doses, as low as 0.03 g/kg, have resulted in hypoglycemia in this species (68)' — 'have resulted in' 은 인과 서술이라 초안의 임상징후 발현을 유지한다. 다만 같은 출처의 192례 후향 연구에서 '저혈당군과 정상혈당군 사이에 추정 섭취량의 유의한 차이가 없었다' 고 하므로"
F-034-033,자일리톨,dog,중증,0.5,g/kg,Y,자일리톨 유발 급성 간부전(간괴사·응고장애),기면|황달|구토|점상출혈|반상출혈|위장관 출혈,1-72시간(Table 2 증례 기준),S-034,(70) Dunayer EK. Vet Med (2006) 12:791-7,"본문 'According to the ASPCA APCC data, the lowest dose associated with xylitol-induced liver failure in dogs is 0.5 g/kg (70)'. 간부전이라는 중증 결과의 최저 용량이므로 중증으로 판정. 결론절 'foodstuffs that must not be fed to d"
F-030-010,주목,dog,치사,2.3,g leaves/kg,N,심장 및 위장관 손상|급사,서맥|저혈압|심정지|구토|설사|떨림|급사,신속(rapid),S-030,,"⚠️ 검수 확정 — 원문은 ""Minimum lethal dose in dogs is 2.3 g **leaves**/kg body weight"" 로 **잎 기준**이다. 단위를 'g/kg' 으로 적으면 식물 전체 무게로 오독된다. | 원문 ""Minimum lethal dose in dogs is 2.3 g leaves/kg body weight."" — 개에 "
F-034-020,초콜릿(테오브로민+카페인),dog,임상징후 발현,20,mg/kg,Y,"메틸잔틴 중독 — 중추신경·심근 자극, 평활근 이완, 이뇨",불안·안절부절|다음|요실금|구토|설사|흥분|현저한 고체온|빈맥,초기 증상은 섭취 2-4시간 이내,S-034,(4) Gwaltney-Brant S. Chocolate intoxication. Vet Med (2001) 96:108-11,"본문 'According to the ASPCA APCC data, mild clinical signs appear in dogs after ingesting 20 mg/kg of theobromine and caffeine' — 'signs appear ... after ingesting' 은 역치 서술이므로 초안의 임상징후 발현을 유지한다. 테오브로민과"
F-034-021,초콜릿(테오브로민+카페인),dog,중증,40-50,mg/kg,Y,중증 메틸잔틴 중독,고혈압|심부정맥|심실조기수축|근강직|운동실조|발작|혼수,초기 증상은 섭취 2-4시간 이내,S-034,(4) Gwaltney-Brant S. Chocolate intoxication. Vet Med (2001) 96:108-11,본문 '... while severe clinical signs are observed at 40-50 mg/kg' — 'severe clinical signs are observed at' 은 중증 역치 서술. 결론절 'foodstuffs that must not be fed to dogs and cats' 에 근거해 feeding_level=NEVER.
