source_id,title,publisher,tier,species,route,usability,url,accessed_at,보유상태,인용방식,비고
S-001,Plants Safe for Birds,VCA Animal Hospitals,2,bird,A,B 가공활용,https://vcahospitals.com/know-your-pet/plants-safe-for-birds,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-002,Plants That are Toxic to Birds,VCA Animal Hospitals,2,bird,링크만,B 가공활용,https://vcahospitals.com/know-your-pet/plants---toxic-for-birds,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-003,Feeding Birds (급여 가이드),AAV 미국조류수의사회,1,bird,B+C,B 가공활용,https://birdsandexotics.com/wp-content/uploads/2021/11/AAV-Feeding-Birds.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-004,Plants for Parrots,World Parrot Trust,2,bird,A,C 확보필요,https://www.parrots.org/pdfs/PlantsforParrots.pdf,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-005,Unsafe Foods For Birds,Lafeber Vet,2,bird,A,B 가공활용,https://lafeber.com/vet/wp-content/uploads/Unsafe-Foods.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-006,Toxic Plants for Pet Birds,Niles Animal Hospital,2,bird,A,B 가공활용,https://nilesanimalhospital.com/files/2012/05/Toxic-Plants-for-Pet-Birds.pdf,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-007,"Common Toxins for Birds, Reptiles and Amphibians",ASPCA,2,bird,A,B 가공활용,https://www.aspca.org/news/common-toxins-birds-reptiles-and-amphibians,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-008,Toxic and Non-Toxic Plant List — Cats,ASPCA,2,cat,A,B 가공활용,https://www.aspca.org/pet-care/animal-poison-control/cats-plant-list,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 부분
S-010,CatConLA Fact Sheet,Cornell 수의과대학,1,cat,B,B 가공활용,https://www.vet.cornell.edu/sites/default/files/CatConLA-FactSheet1.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-012,Feline Pancreatitis,Cornell Feline Health Center,1,cat,B,B 가공활용,https://www.vet.cornell.edu/.../feline-pancreatitis,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-013,Sick Cat Signs (질병 징후),Cornell Feline Health Center,1,cat,B,C 확보필요,URL 재확보 필요,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-014,Dangerous Foods for Cats,FOUR PAWS International,2,cat,A/B,B 가공활용,https://www.four-paws.org/our-stories/publications-guides/dangerous-foods-for-cats,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 부분
S-015,Avoiding Raw Food in Cats,VCA Animal Hospitals,2,cat,B,B 가공활용,https://vcahospitals.com/know-your-pet/avoiding-raw-food-in-cats,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-017,Emergencies in Cats,VCA Animal Hospitals,2,cat,링크만,B 가공활용,https://vcahospitals.com/know-your-pet/emergencies-in-cats,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-018,First Aid for Cats,VCA Animal Hospitals,2,cat,링크만,B 가공활용,https://vcahospitals.com/know-your-pet/first-aid-for-cats,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-019,Toxic and Non-Toxic Plant List — Dogs,ASPCA,2,dog,A,B 가공활용,https://www.aspca.org/pet-care/animal-poison-control/dogs-plant-list,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 부분
S-020,Copper hepatopathy and dietary management,Cornell Riney Canine Health Center,1,dog,B,B 가공활용,https://www.vet.cornell.edu/.../copper-hepatopathy-and-dietary-management,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-021,40 Poisonous & Toxic Foods for Dogs (A to Z),Wild Earth (사료회사 블로그),3,dog,A,B 가공활용,https://wildearth.com/blogs/dog-knowledge/40-poisonous-toxic-foods-for-dogs-a-to-z-list,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-023,People Foods to Avoid Feeding Your Pets,ASPCA,2,mammal,A,B 가공활용,https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-025,Toxic and Non-Toxic Plants (통합 DB),ASPCA,2,all,A,B 가공활용,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 요약
S-026,Common Poison List (독성물질 DB),Pet Poison Helpline,2,all,A,B 가공활용,https://www.petpoisonhelpline.com/poisons/,2026-07-31,작업용 원본 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),라이선스 미확인/저작권 — 제출물에 원문 미포함
S-027,Emergency Instructions (응급 대처),Pet Poison Helpline,2,all,B,B 가공활용,https://www.petpoisonhelpline.com/pet-owners/emergency/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-028,Plants Poisonous to Animals,Merck Veterinary Manual,1,all,A/B,B 가공활용,https://www.merckvetmanual.com/special-pet-topics/poisoning/plants-poisonous-to-animals,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-030,Shelter Brochure — Plants,FOUR PAWS International,2,all,A,B 가공활용,https://fourpaws.org/wp-content/uploads/2023/08/AAP_Shelter_Brochures_Updates_Plants.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-031,ASPCA Plant Toxicity Info (정형 데이터셋),Kaggle / ASPCA 파생,2,mammal,A,B 가공활용,https://www.kaggle.com/datasets/pelinkeskin/aspca-plant-toxicity-info,2026-07-31,작업용 원본 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),라이선스 미확인/저작권 — 제출물에 원문 미포함
S-032,Toxic foods list (VIN),Veterinary Partner (VIN),2,mammal,B,B 가공활용,https://veterinarypartner.vin.com/default.aspx?pid=19239,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 빈약
S-035,반려동물 위험 음식 관련 논문,PubMed Central (PMC),1,mammal,B,B 가공활용,https://pmc.ncbi.nlm.nih.gov/articles/PMC2984110/,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-036,개(농약)·고양이(타이레놀) 중독 증상,World Veterinary Journal,1,mammal,B,A 자유이용,https://wvj.science-line.com/attachments/article/68/WVJ%2012(1)%2028-33.pdf,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-037,Help! Is This a Pet Emergency?,AAHA,2,mammal,B,B 가공활용,https://www.aaha.org/resources/help-is-this-a-pet-emergency/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-038,Respiratory distress in pets,AAHA,2,mammal,B,B 가공활용,https://aaha.org/wp-content/uploads/2024/05/Respiratory-distress-in-pets.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-039,First Aid Kit for Pets,American Red Cross,2,mammal,B,B 가공활용,https://www.redcross.org/content/dam/redcross/atg/PDF_s/.../First_Aid_Kit_for_Pets.pdf,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-040,Emergency & Critical Care,Cornell 수의과대학,1,mammal,B,B 가공활용,https://www.vet.cornell.edu/hospitals/services/emergency-critical-care,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 부적합
S-041,FEDIAF Nutritional Guidelines 2025,FEDIAF,1,mammal,C,B 가공활용,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-042,Pet Food Committee (영양 기준),AAFCO,1,all,C+B,C 확보필요,https://www.aafco.org/about/committees/pet-food/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 빈약
S-047,강아지 과일 급여 기준,Hill's Pet Nutrition,3,mammal,참고,B 가공활용,https://www.hillspet.co.kr/pet-care/nutrition-feeding/can-dogs-and-cats-eat-fruit,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-048,Raw or Undercooked Animal-Source Protein 정책,AVMA,1,mammal,B,B 가공활용,https://www.avma.org/resources-tools/avma-policies/raw-or-undercooked-animal-source-protein-cat-and-dog-diets,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 요약
S-049,Daily Maintenance Energy Requirements for Dogs and Cats,Merck Veterinary Manual,1,mammal,C,B 가공활용,https://www.merckvetmanual.com/multimedia/table/daily-maintenance-energy-requirements-for-dogs-and-cats,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-050,Nutritional Requirements of Small Animals,Merck Veterinary Manual,1,mammal,C+B,B 가공활용,https://www.merckvetmanual.com/management-and-nutrition/nutrition-small-animals/nutritional-requirements-of-small-animals,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-051,Calories Calculator,Merck Veterinary Manual,1,mammal,C,B 가공활용,https://www.merckvetmanual.com/multimedia/clinical-calculator/calories-calculator,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-052,Chocolate Toxicity Calculator,MSD Veterinary Manual,1,dog,C,B 가공활용,https://www.msdvetmanual.com/multimedia/clinical-calculator/chocolate-toxicity-calculator,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-053,WSAVA Guide to Treats — Dogs,WSAVA 세계소동물수의사협회,1,dog,C+A,B 가공활용,https://wsava.org/wp-content/uploads/2025/11/WSAVA_GuidetoTreats_Dogs_251107.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-054,WSAVA Guide to Treats — Cats,WSAVA 세계소동물수의사협회,1,cat,C+A,B 가공활용,https://wsava.org/wp-content/uploads/2025/11/WSAVA_GuidetoTreats_Cats_251107.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-055,Clinical Perspectives on the Principles of Avian Nutrition,Lafeber Vet,2,bird,C+B,B 가공활용,https://lafeber.com/vet/clinical-perspectives-on-the-principles-of-avian-nutrition/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 요약
S-056,Estimating Energy Requirements,Lafeber Vet,2,all,C,B 가공활용,https://lafeber.com/vet/estimating-energy-requirements/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-057,Household Hazards for Pet Birds,Merck Veterinary Manual,1,bird,A/B,B 가공활용,https://www.merckvetmanual.com/bird-owners/routine-care-and-safety-of-birds/household-hazards-for-pet-birds,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-059,반려견 사료 열량 계산기,농촌진흥청 국립축산과학원,1,dog,C,B 가공활용,https://www.nias.go.kr/companion/pet_food.do?cmCode=M170717140741433,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-060,Nutrition in Hepatic Disease in Small Animals,Merck Veterinary Manual,1,mammal,B,B 가공활용,https://www.merckvetmanual.com/digestive-system/hepatic-diseases-of-small-animals/nutrition-in-hepatic-disease-in-small-animals,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-062,Household hazards: dogs and cats (WSAVA 2014 회의록),VIN / WSAVA,2,mammal,B,B 가공활용,https://www.vin.com/apputil/project/defaultadv1.aspx?pid=12886&id=7054886,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-063,10 Barbecue Foods Dogs Shouldn't Eat,AAHA,2,dog,A/B,B 가공활용,https://www.aaha.org/resources/paws-off-10-barbecue-foods-dogs-shouldnt-eat/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-064,Fruits & Vegetables Dogs Can and Can't Eat,American Kennel Club,2,dog,A/B,B 가공활용,https://www.akc.org/expert-advice/nutrition/fruits-vegetables-dogs-can-and-cant-eat/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-067,반려동물 식품의 선택속성 연구,국내 학술지,1,dog,참고,B 가공활용,data/raw/S-068_pet-food-selection-attributes/,2026-07-31,작업용 원본 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),라이선스 미확인/저작권 — 제출물에 원문 미포함
S-068,음식 성분 분석기,food.nett.kr,3,all,참고,B 가공활용,https://food.nett.kr/,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-069,「반려동물 영양제」 안전실태조사 결과 (2024.12),한국소비자원,1,mammal,B,C 확보필요,라이선스 확인표 첨부 (REF-01),2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-070,Avian toxicoses: a review,"Frontiers in Veterinary Science, 2025, 12:1572736",1,bird,B+A,A 자유이용,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1572736/full,2026-08-01,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-071,Household Dangers (2020),AAV 미국조류수의사회,1,bird,A/B,B 가공활용,https://cdn.ymaws.com/www.aav.org/resource/resmgr/pdf_2019/aav_household_dangers2020.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-072,Sick Birds At Home: First Aid,Northern Parrots (상업),3,bird,B,B 가공활용,https://www.northernparrots.com/blog/sick-birds-at-home-first-aid/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 요약
S-074,Teflon toxicity affects all bird species,Companion Pet Magazine (상업),3,bird,B,B 가공활용,https://companionpetmagazine.com/issues/winter-2023/teflon-toxicity-affects-all-bird-species,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-078,Bird-Safe Household Products,Zubair Khalid DVM (개인 사이트),3,bird,B,B 가공활용,https://www.zubairkhalid.com/knowledge/veterinary-medicine/pet-bird-care/bird-safe-household-products/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-079,Compulsive Disorders in Dogs,VCA Animal Hospitals,2,dog,링크만,B 가공활용,https://vcahospitals.com/know-your-pet/compulsive-disorders-in-dogs,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 요약
S-080,Canine Compulsive Disorder,PetMD (상업),3,dog,B,B 가공활용,https://www.petmd.com/dog/behavior/canine-compulsive-disorder,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-081,개 정형행동 (Veterinary Partner),VIN / Veterinary Partner,2,dog,B,B 가공활용,https://veterinarypartner.vin.com/default.aspx?pid=19239&id=11526425,2026-07-31,미확보,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),접근 차단 또는 URL 결손 — 01c §6.5 참조
S-082,Household Hazards — Toxic Hazards for Cats,VCA Animal Hospitals,2,cat,B,B 가공활용,https://vcahospitals.com/know-your-pet/household-hazards-toxic-hazards-for-cats,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 요약
S-083,Top 10 Toxic Household Plants For Pets,VCA Animal Hospitals,2,mammal,A/B,B 가공활용,https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-household-plants-for-pets,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-084,Garage and Shed Toxins,Pet Poison Helpline,2,mammal,A/B,B 가공활용,https://www.petpoisonhelpline.com/uncategorized/garage-shed-toxins/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-085,List of Common Pet Poisons,Banfield Pet Hospital,2,mammal,A/B,B 가공활용,https://www.banfield.com/Wellness-at-banfield/First-aid/List-of-common-pet-poisons,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-086,Cleaning Products That Can Harm Your Pets,PetMD (상업),3,mammal,B,B 가공활용,https://www.petmd.com/poisoning/cleaning-products-that-harm-pets,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-087,People Foods Pets Should Never Eat (전문가용),ASPCApro,2,mammal,A/B,B 가공활용,https://www.aspcapro.org/resource/people-foods-pets-should-never-eat,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-090,앵무새 독성물질 정리본 (txt),이서은 작성,2,bird,A,B 가공활용,data/reference/ (REF-02·REF-03),2026-07-31,작업용 원본 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),reference/ REF-02·REF-03 (팀 내부 산출물)
S-091,Foods Toxic to Pet Birds,Lafeber,2,bird,A,B 가공활용,https://lafeber.com/pet-birds/foods-toxic-pet-birds/,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-092,Avian First Aid (안내서),Niles Animal Hospital,2,bird,B,B 가공활용,https://nilesanimalhospital.com/files/2012/05/Avian-First-Aid1.pdf,2026-07-31,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-093,Acute tea tree oil intoxication in a pet cockatiel (Nymphicus hollandicus): a case report,"BMC Veterinary Research, 2020, 16:29",1,bird,B,A 자유이용,https://doi.org/10.1186/s12917-020-2255-4,2026-08-01,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-094,Heavy Metal Poisoning and Its Impacts on the Conservation of Amazonian Parrots: An Interdi,"Biology (MDPI), 2025, 14:660",1,bird,B,A 자유이용,https://doi.org/10.3390/biology14060660,2026-08-01,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-095,常見對貓有害的植物 (Common poisonous plants for cats),香港漁農自然護理署 (AFCD),2,cat,B,B 가공활용,https://www.pets.gov.hk/tc_chi/animal_health_and_welfare/Common_poisonous_plants_for_cats.html,2026-08-01,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
S-096,常見對狗有害的植物 (Common poisonous plants for dogs),香港漁農自然護理署 (AFCD),2,dog,B,B 가공활용,https://www.pets.gov.hk/tc_chi/animal_health_and_welfare/Common_poisonous_plants_for_dogs.html,2026-08-01,작업용 스냅샷 보유,사실 추출 + 문장화 + 출처 표기 (D-28·D-32),스냅샷 품질 완전
