fact_id,source_id,publisher,doc_type,species,substance,scientific_name,toxic_part,threshold_type,dose,unit,max_value,basis,life_stage,feeding_level,triage_level,effect,signs,onset,escalation_conditions,quote,locator,accessed_at,citation,extracted_by,note
F-003-001,S-003,AAV 미국조류수의사회,toxicity_food,bird,아보카도,,과육,,,,,,,NEVER,,,,,,,"""Foods to Avoid"" 절",2026-07-31,,ohb,"원문은 독성 성분을 'glycosides' 로만 기술 — 같은 그룹의 S-005·S-091·S-007 은 persin 으로 기술. 성분명 불일치, 원문 표현대로 두고 팀장 확인. 구체적 병태 서술 없어 effect 공란. ※ 배정표 accessed_at(2026-07-31)과 스냅샷 frontmatter(2026-07-30)가 불일치 — 지침대로 배정표 값 사용(8건 전부 동일)."
F-003-002,S-003,AAV 미국조류수의사회,toxicity_food,bird,초콜릿(테오브로민),,,,,,,,,NEVER,,과다행동|경련,과다행동|경련,,,,"""Foods to Avoid"" 절",2026-07-31,,ohb,원문 'If overdosed' 라고만 하고 수치 없음 — dose·threshold_type 공란.
F-003-003,S-003,AAV 미국조류수의사회,toxicity_food,bird,고지방·고염분·고당분 식품,,,,,,,,,NEVER,,비만|만성 간질환,,,,,"""Foods to Avoid"" 절",2026-07-31,,ohb,원문: 새는 섭취량을 과소평가하기 쉽다고 경고.
F-003-004,S-003,AAV 미국조류수의사회,toxicity_food,bird,알코올 음료,,,,,,,,,NEVER,,중독(intoxication),,,,,"""Foods to Avoid"" 절",2026-07-31,,ohb,원문: 새는 체구가 작아 매우 쉽게 중독된다고만 서술 — 수치 없음.
F-003-005,S-003,AAV 미국조류수의사회,nutrition,bird,그릿(grit),,,,,,,,,CAUTION,,,,,,,"""Grit"" 절",2026-07-31,,ohb,원문: 대부분의 앵무류에는 일반적으로 권장하지 않음. 단 카나리아·핀치·비둘기·집비둘기에는 굴껍질 분말 형태 그릿을 권장 — 종에 따라 판정이 갈리므로 CAUTION 으로 통일. 팀장 확인.
F-003-006,S-003,AAV 미국조류수의사회,nutrition,bird,소금 블록(salt block),,,,,,,,,NEVER,,,,,,,"""Other Supplements"" 절",2026-07-31,,ohb,원문 'Salt blocks should not be offered to birds.' — 사유는 서술되지 않음.
F-003-007,S-003,AAV 미국조류수의사회,nutrition,bird,비타민 보충제,,,,,,,,,CAUTION,,,,,,,"""Feeding Tips"" 절 · ""Other Supplements"" 절",2026-07-31,,ohb,원문: 건강한 식이를 하는 새에게는 불필요하며 조류 수의사 권고 시에만 급여. '금지'가 아니라 '수의사 지시 하에'이므로 CAUTION.
F-003-008,S-003,AAV 미국조류수의사회,nutrition,bird,포뮬러 사료(펠릿),,,,,,,,,,,필수 영양소 균형 공급,,,,,"""Formulated Diets"" 절",2026-07-31,,ohb,원문은 권장 급여 항목이나 조류 특칙(D-39)상 feeding_level=SAFE 를 쓸 수 없어 공란. 원문 단서: 펠릿은 씨앗·견과 혼합보다 영양 균형이 우수하나 기호성이 낮고 새가 먹이로 인식하지 못할 수 있음.
F-003-009,S-003,AAV 미국조류수의사회,nutrition,bird,정제 곡물(흰쌀·흰빵·파스타),,,,,,,,,CAUTION,,,,,,,"""Vegetables, Fruits and Whole Grains"" 절",2026-07-31,,ohb,원문 'Avoid bleached and processed grains' — 대신 현미·야생미·통곡빵 권장. 독성이 아니라 영양 권고.
F-003-010,S-003,AAV 미국조류수의사회,nutrition,bird,저철분 식이(로리·로리키트·투칸·구관조),,,,,,,,,,,,,,,,"""Specialized Diets"" 절",2026-07-31,,ohb,원문: 로리·로리키트는 야생에서 화밀식이며 저철분 액상 사료·매쉬를 급여. 투칸·투카넷·구관조도 저철분 식이 필요. 특정 종에 한정된 권고이나 species 컬럼에 해당 값이 없어 bird 유지 — 팀장 확인.
